,证券代码,证券简称,信用评级,评级类型,评估机构,债项评级时间,投资等级,等级含义
72,011780001.IB,17盈峰SCP001,A-1,短期信用评级,东方金诚国际信用评估有限公司,20170424,投资级,还本付息能力最强，安全性高 
73,011800709.IB,18三木SCP001,A-1,短期信用评级,东方金诚国际信用评估有限公司,20180409,投资级,还本付息能力最强，安全性高 
74,011800709.IB,18三木SCP001,A-1,短期信用评级,东方金诚国际信用评估有限公司,20180710,投资级,还本付息能力最强，安全性高 
75,011235001.IB,12中航油SCP001,A-1,短期信用评级,联合资信评估有限公司,20120730,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
76,011235002.IB,12中航油SCP002,A-1,短期信用评级,联合资信评估有限公司,20121116,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
77,011764131.IB,17陕煤化SCP007,A-1,短期信用评级,联合资信评估有限公司,20171116,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
78,011801375.IB,18汉光谷SCP001,A-1,短期信用评级,联合资信评估有限公司,20180723,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
79,041151002.IB,11中石油CP002,A-1,短期信用评级,联合资信评估有限公司,20110913,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
80,041151002.IB,11中石油CP002,A-1,短期信用评级,联合资信评估有限公司,20120629,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
81,041151004.IB,11华能集CP004,A-1,短期信用评级,联合资信评估有限公司,20110913,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
82,041151004.IB,11华能集CP004,A-1,短期信用评级,联合资信评估有限公司,20120522,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
83,041151008.IB,11电网CP001,A-1,短期信用评级,联合资信评估有限公司,20110715,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
84,041151010.IB,11玉柴股CP003,A-1,短期信用评级,联合资信评估有限公司,20110830,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
85,041151011.IB,11中石油CP003,A-1,短期信用评级,联合资信评估有限公司,20111020,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
86,041151011.IB,11中石油CP003,A-1,短期信用评级,联合资信评估有限公司,20120629,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。
