,债券唯一标识(年份-季度-证券代码),债券评级发布时间(中诚信国际信用评级有限责任公司),债券评级评级类型(中诚信国际信用评级有限责任公司),债券评级信用等级(中诚信国际信用评级有限责任公司),债券评级评估机构(中诚信国际信用评级有限责任公司),债券评级投资等级(中诚信国际信用评级有限责任公司),债券评级等级含义(中诚信国际信用评级有限责任公司),债券评级发布时间(联合资信评估有限公司),债券评级评级类型(联合资信评估有限公司),债券评级信用等级(联合资信评估有限公司),债券评级评估机构(联合资信评估有限公司),债券评级投资等级(联合资信评估有限公司),债券评级等级含义(联合资信评估有限公司),债券评级发布时间(大公国际资信评估有限公司),债券评级评级类型(大公国际资信评估有限公司),债券评级信用等级(大公国际资信评估有限公司),债券评级评估机构(大公国际资信评估有限公司),债券评级投资等级(大公国际资信评估有限公司),债券评级等级含义(大公国际资信评估有限公司),债券评级发布时间(上海新世纪资信评估投资服务有限公司),债券评级评级类型(上海新世纪资信评估投资服务有限公司),债券评级信用等级(上海新世纪资信评估投资服务有限公司),债券评级评估机构(上海新世纪资信评估投资服务有限公司),债券评级投资等级(上海新世纪资信评估投资服务有限公司),债券评级等级含义(上海新世纪资信评估投资服务有限公司),债券评级发布时间(东方金诚国际信用评估有限公司),债券评级评级类型(东方金诚国际信用评估有限公司),债券评级信用等级(东方金诚国际信用评估有限公司),债券评级评估机构(东方金诚国际信用评估有限公司),债券评级投资等级(东方金诚国际信用评估有限公司),债券评级等级含义(东方金诚国际信用评估有限公司)
251,2011-4-041154015.IB,20111110,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
252,2011-3-041159009.IB,20110913,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
253,2011-1-041152010.IB,,,,,,,20110315,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
254,2017-4-011764131.IB,,,,,,,20171116,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
255,2012-3-041158022.IB,,,,,,,,,,,,,,,,,,,20120711,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
256,2012-2-041153007.IB,20120528,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
257,2011-3-041158009.IB,20110927,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
258,2011-4-041151013.IB,20111111,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
259,2011-4-041154018.IB,,,,,,,,,,,,,20111108,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
260,2017-2-011764075.IB,,,,,,,,,,,,,20170622,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
261,2016-1-011699987.IB,,,,,,,,,,,,,,,,,,,20160118,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
262,2011-4-041158026.IB,,,,,,,20111128,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
263,2011-3-041153002.IB,20110707,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
264,2011-4-041159009.IB,20111026,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
265,2012-2-041154007.IB,,,,,,,,,,,,,20120411,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
266,2012-3-011234001.IB,,,,,,,,,,,,,20120713,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
267,2012-3-041158004.IB,,,,,,,,,,,,,20120731,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
268,2012-2-041154009.IB,20120604,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
269,2011-4-041154010.IB,,,,,,,20111021,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
270,2018-1-011764074.IB,,,,,,,,,,,,,,,,,,,20180122,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
271,2012-2-041158010.IB,20120514,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
